Dan 1,55,56,57,59,65,310,311,312,313,314
08:00,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС,13Е034АС
11:30,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1,13Е114ПП1
15:00,13Е032ОТС,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1,13С111П1
18:30,X,13Е032Т1,13Е032Т1,13Е032Т1,13Е032Т1,13Е032Т1,13Е032Т1,13Е032Т1,13Е032Т1,13Е032Т1

Dan 2,55,56,57,59,65,310,311,312,313,314
08:00,X,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13С113ИС1,13Е064НФ,13С113ИС1,13С113ИС1,13С113ИС1
11:30,X,13Е112АСП,13Е054ПО,13Е112АСП,13Е112АСП,13Е112АСП,13Е112АСП,13Е112АСП,13Е112АСП,13Е112АСП
15:00,X,13Е062КМ,X,13Е024РПОГ,13Е024РПОГ,13Е024РПОГ,13Е024РПОГ,13Е024РПОГ,13Е024РПОГ,13Е024РПОГ
18:30,X,13Е042ОЕ,X,X,13Е072ГЕМ,13Е072ГЕМ,X,13Е072ГЕМ,13Е072ГЕМ,X

